"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","3.300","3.170","3.300","3.110","6.88M","5.77%"
"03/16/2023","3.120","3.250","3.250","3.070","4.13M","-3.41%"
"03/15/2023","3.230","3.200","3.300","3.180","1.87M","1.25%"
"03/14/2023","3.190","3.330","3.360","3.180","9.62M","-5.06%"
"03/13/2023","3.360","3.410","3.410","3.340","2.13M","-1.18%"
"03/10/2023","3.400","3.430","3.430","3.370","1.54M","-0.87%"
"03/09/2023","3.430","3.440","3.470","3.430","1.03M","-0.58%"
"03/08/2023","3.450","3.430","3.450","3.410","1.22M","0.58%"
"03/07/2023","3.430","3.470","3.470","3.420","2.01M","-0.29%"
"03/06/2023","3.440","3.500","3.500","3.440","1.55M","-1.15%"
"03/03/2023","3.480","3.500","3.520","3.470","3.18M","-0.29%"
"03/02/2023","3.490","3.360","3.520","3.360","6.27M","3.56%"
"03/01/2023","3.370","3.350","3.390","3.320","6.69M","0.00%"
"02/28/2023","3.370","3.410","3.410","3.370","9.20M","-1.46%"
"02/27/2023","3.420","3.400","3.460","3.380","9.57M","0.29%"
"02/24/2023","3.410","3.420","3.420","3.370","8.07M","0.29%"
"02/23/2023","3.400","3.390","3.410","3.280","11.07M","1.19%"
"02/22/2023","3.360","3.430","3.430","3.330","11.19M","-0.88%"
"02/21/2023","3.390","3.450","3.450","3.380","11.52M","-2.02%"
"02/20/2023","3.460","3.510","3.510","3.410","8.36M","0.29%"
"02/17/2023","3.450","3.350","3.570","3.340","27.78M","4.55%"
"02/16/2023","3.300","3.210","3.310","3.210","9.52M","3.12%"
"02/15/2023","3.200","3.230","3.240","3.160","10.60M","0.00%"
"02/14/2023","3.200","3.190","3.240","3.160","8.68M","0.95%"
"02/13/2023","3.170","3.150","3.200","2.960","10.88M","0.96%"
"02/10/2023","3.140","3.180","3.200","3.110","8.80M","-1.26%"
"02/09/2023","3.180","3.210","3.240","3.180","6.06M","-0.93%"
"02/08/2023","3.210","3.200","3.250","3.200","7.90M","0.94%"
"02/07/2023","3.180","3.240","3.260","3.180","11.53M","-1.55%"
"02/06/2023","3.230","3.200","3.250","3.180","12.24M","0.94%"
"02/03/2023","3.200","3.180","3.230","3.170","11.76M","0.63%"
"02/02/2023","3.180","3.150","3.250","3.110","9.87M","0.95%"
"02/01/2023","3.150","3.280","3.380","3.150","11.73M","-3.08%"
"01/31/2023","3.250","3.290","3.300","3.160","14.41M","0.00%"
"01/30/2023","3.250","3.190","3.350","2.810","23.77M","4.17%"
"01/27/2023","3.120","3.420","3.420","3.100","12.56M","-8.24%"
"01/26/2023","3.400","3.470","3.480","3.400","7.08M","-2.58%"
"01/25/2023","3.490","3.470","3.510","3.430","9.74M","0.87%"
"01/24/2023","3.460","3.460","3.480","3.430","7.83M","-0.57%"
"01/23/2023","3.480","3.500","3.500","3.430","9.55M","-0.29%"
"01/20/2023","3.490","3.500","3.500","3.450","10.43M","-0.29%"
"01/19/2023","3.500","3.490","3.510","3.480","12.64M","0.29%"
"01/18/2023","3.490","3.500","3.520","3.470","12.10M","-0.29%"
"01/17/2023","3.500","3.520","3.570","3.500","13.35M","-0.57%"
"01/16/2023","3.520","3.540","3.540","3.500","9.31M","-0.56%"
"01/13/2023","3.540","3.500","3.540","3.480","8.04M","1.14%"
"01/12/2023","3.500","3.540","3.560","3.450","10.76M","-0.85%"
"01/11/2023","3.530","3.530","3.540","3.500","16.86M","-0.28%"
"01/10/2023","3.540","3.590","3.590","3.510","10.30M","-1.39%"
"01/09/2023","3.590","3.610","3.640","3.580","9.44M","-0.28%"
"01/06/2023","3.600","3.610","3.630","3.560","12.41M","-0.55%"
"01/05/2023","3.620","3.590","3.720","3.580","15.07M","0.00%"
"01/04/2023","3.620","3.630","3.630","3.600","9.26M","-0.28%"
"01/03/2023","3.630","3.510","3.650","3.510","20.00M","3.42%"
"01/02/2023","3.510","3.450","3.520","3.410","14.69M","2.33%"
"12/30/2022","3.430","3.430","3.490","3.430","11.85M","0.00%"
"12/29/2022","3.430","3.420","3.440","3.390","11.05M","0.29%"
"12/28/2022","3.420","3.450","3.450","3.410","15.05M","-0.29%"
"12/27/2022","3.430","3.460","3.470","3.430","14.05M","-1.15%"
"12/26/2022","3.470","3.470","3.480","3.420","11.83M","0.00%"
"12/23/2022","3.470","3.470","3.510","3.470","12.45M","0.00%"
"12/22/2022","3.470","3.490","3.510","3.450","11.15M","-0.57%"
"12/21/2022","3.490","3.530","3.540","3.480","11.37M","-0.85%"
"12/20/2022","3.520","3.550","3.550","3.480","11.61M","-0.56%"
"12/19/2022","3.540","3.470","3.540","3.450","13.00M","2.61%"
"12/16/2022","3.450","3.450","3.540","3.390","10.38M","0.00%"
"12/15/2022","3.450","3.330","3.570","3.330","20.10M","3.60%"
"12/14/2022","3.330","3.420","3.450","3.330","15.46M","-2.63%"
"12/13/2022","3.420","3.530","3.550","3.370","8.80M","-3.12%"
"12/12/2022","3.530","3.650","3.650","3.500","11.80M","-2.75%"
"12/09/2022","3.630","3.770","3.780","3.580","15.31M","-3.20%"
"12/08/2022","3.750","3.740","3.830","3.740","22.04M","0.27%"
"12/07/2022","3.740","3.840","3.840","3.670","16.93M","-2.35%"
"12/06/2022","3.830","3.520","3.930","3.490","49.07M","9.43%"
"12/05/2022","3.500","3.500","3.520","3.350","27.88M","0.29%"
"11/30/2022","3.490","3.580","3.630","3.440","18.85M","-1.69%"
"11/29/2022","3.550","3.680","3.700","3.520","11.98M","-3.53%"
"11/28/2022","3.680","3.780","3.790","3.680","12.27M","-2.39%"
"11/25/2022","3.770","3.740","3.790","3.730","12.37M","0.00%"
"11/24/2022","3.770","3.740","3.800","3.730","13.39M","0.53%"
"11/23/2022","3.750","3.730","3.760","3.690","15.11M","0.27%"
"11/22/2022","3.740","3.730","3.750","3.710","11.55M","0.54%"
"11/21/2022","3.720","3.750","3.760","3.690","10.87M","-0.80%"
"11/18/2022","3.750","3.750","3.820","3.710","16.47M","-1.32%"
"11/17/2022","3.800","3.690","3.860","3.640","82.23M","2.98%"
"11/16/2022","3.690","3.730","3.730","3.620","21.53M","-0.81%"
"11/15/2022","3.720","3.850","3.850","3.710","18.15M","-3.88%"
"11/14/2022","3.870","3.920","3.940","3.740","21.59M","-0.51%"
"11/11/2022","3.890","3.990","3.990","3.860","27.68M","-1.02%"
"11/10/2022","3.930","3.910","4.000","3.900","20.25M","-0.76%"
"11/09/2022","3.960","3.890","4.040","3.880","30.75M","2.59%"
"11/08/2022","3.860","3.930","4.120","3.840","40.62M","-1.03%"
"11/07/2022","3.900","3.650","3.910","3.650","26.05M","5.98%"
"11/04/2022","3.680","3.830","3.870","3.600","34.81M","-3.16%"
"11/03/2022","3.800","3.980","4.000","3.790","44.44M","-5.00%"
"11/02/2022","4.000","3.790","4.170","3.750","76.70M","8.70%"
"11/01/2022","3.680","3.200","3.680","3.200","98.81M","15.00%"
"10/31/2022","3.200","2.930","3.200","2.920","53.70M","9.59%"
"10/28/2022","2.920","2.800","3.040","2.710","158.47M","4.66%"
"10/27/2022","2.790","2.710","2.830","2.700","52.04M","2.95%"
"10/26/2022","2.710","2.700","2.750","2.660","45.70M","0.74%"
"10/25/2022","2.690","2.570","2.720","2.560","73.97M","4.67%"
"10/24/2022","2.570","2.610","2.620","2.550","9.66M","-1.53%"
"10/21/2022","2.610","2.500","2.620","2.500","16.57M","3.57%"
"10/20/2022","2.520","2.500","2.550","2.490","7.33M","0.00%"
"10/19/2022","2.520","2.560","2.560","2.520","13.02M","-1.18%"
"10/18/2022","2.550","2.430","2.580","2.420","22.00M","4.51%"
"10/17/2022","2.440","2.510","2.530","2.440","7.32M","-3.17%"
"10/14/2022","2.520","2.520","2.550","2.460","9.00M","0.40%"
"10/13/2022","2.510","2.500","2.520","2.460","4.72M","0.00%"
"10/12/2022","2.510","2.490","2.550","2.480","16.20M","0.40%"
"10/11/2022","2.500","2.520","2.540","2.480","14.89M","-0.79%"
"10/10/2022","2.520","2.550","2.580","2.520","5.85M","-1.95%"
"10/07/2022","2.570","2.620","2.620","2.560","10.59M","-1.53%"
"10/06/2022","2.610","2.620","2.650","2.540","34.45M","0.38%"
"10/05/2022","2.600","2.600","2.660","2.540","42.40M","0.39%"
"10/04/2022","2.590","2.460","2.600","2.450","30.05M","7.92%"
"10/03/2022","2.400","2.410","2.440","2.360","18.19M","-0.41%"
"09/30/2022","2.410","2.440","2.510","2.410","94.30M","-1.63%"
"09/29/2022","2.450","2.450","2.670","2.420","71.77M","1.66%"
"09/28/2022","2.410","2.380","2.420","2.360","41.24M","2.12%"
